user_id,name,age,gender,city,state,plan_id,signup_date,preferred_language,is_active
U00062,Advika Jayaraman,50,Male,Chennai,Tamil Nadu,P1,2024-03-19,Bengali,True
U00063,William Lanka,64,Other,Lucknow,Uttar Pradesh,P2,2025-03-20,English,True
U00064,Tanvi Mutti,54,Female,Jaipur,Rajasthan,P2,2024-02-14,Kannada,False
U00065,Aditya Shanker,18,Female,Bengaluru,Karnataka,P2,2026-04-03,Hindi,True
U00066,Ethan Yogi,16,Female,Chennai,Tamil Nadu,P2,2025-01-08,Hindi,True
U00067,Kevin Palla,20,Male,Patna,Bihar,P2,2023-05-23,Hindi,False
U00068,Kala Mane,56,Female,Chennai,Tamil Nadu,P2,2026-01-22,Tamil,True
U00069,Abhiram Mistry,18,Female,Chennai,Tamil Nadu,P1,2023-03-03,Kannada,True
U00070,Krish Lalla,43,Male,Delhi,Delhi,P3,2026-04-07,Bengali,True
U00071,Nachiket Magar,32,Female,Chandigarh,Punjab,P3,2022-12-31,Punjabi,True
U00072,Hemal Jani,40,Male,Ahmedabad,Gujarat,P3,2023-08-31,Kannada,True
U00073,Yashasvi Suresh,58,Female,Kochi,Kerala,P3,2025-04-15,Bengali,False
U00074,George Sampath,48,Other,Ahmedabad,Gujarat,P1,2023-07-17,Hindi,False
U00075,Aarush Nath,24,Female,Nagpur,Maharashtra,P1,2025-11-08,English,False
U00076,Neel Sathe,50,Other,Ahmedabad,Gujarat,P1,2025-08-15,Hindi,True
U00077,Aditya Choudhury,28,Female,Bengaluru,Karnataka,P4,2024-09-29,English,True
U00078,Balendra Pingle,45,Male,Coimbatore,Tamil Nadu,P1,2022-11-02,Hindi,False
U00079,Qushi Datta,62,Female,Kolkata,West Bengal,P2,2024-11-13,Hindi,True
U00080,Balveer Parmar,29,Female,Chandigarh,Punjab,P2,2022-09-15,English,False
U00081,Harshil Pandya,22,Other,Hyderabad,Telangana,P2,2023-05-18,Hindi,True
U00082,Mohammed Khalsa,28,Other,Patna,Bihar,P1,2025-08-28,Bengali,False
U00083,Nitara Bakshi,37,Male,Pune,Maharashtra,P2,2025-12-30,Marathi,False
U00084,Nisha Kothari,54,Male,Bhubaneswar,Odisha,P1,2023-04-04,Bengali,True
U00085,Lavanya Barad,35,Female,Lucknow,Uttar Pradesh,P2,2023-08-09,English,True
U00086,Ryan Sharma,30,Other,Chennai,Tamil Nadu,P1,2025-12-21,Marathi,True
U00087,Udant Bajwa,59,Female,Kolkata,West Bengal,P2,2023-12-08,English,False
U00088,Falguni Mallick,32,Female,Lucknow,Uttar Pradesh,P1,2025-03-06,Bengali,True
U00089,Indali Upadhyay,61,Female,Kochi,Kerala,P2,2025-12-29,Bengali,True
U00090,Ayaan D’Alia,38,Female,Kolkata,West Bengal,P2,2024-02-19,Telugu,True
U00091,Pranav Lanka,40,Male,Kochi,Kerala,P1,2026-01-17,Bengali,True
U00092,Hemani Murthy,39,Male,Pune,Maharashtra,P1,2022-09-09,Hindi,True
U00093,Lekha Gupta,59,Other,Bengaluru,Karnataka,P2,2024-04-13,Tamil,True
U00094,Aarav Venkatesh,55,Male,Bhopal,Madhya Pradesh,P2,2023-07-23,Hindi,True
U00095,Januja Sankar,43,Male,Hyderabad,Telangana,P3,2026-03-29,Hindi,False
U00096,Dipta Dash,29,Other,Indore,Madhya Pradesh,P2,2022-10-26,Hindi,False
U00097,Yashica More,59,Female,Surat,Gujarat,P1,2025-06-01,Bengali,False
U00098,Neha Merchant,15,Female,Bhubaneswar,Odisha,P1,2025-03-16,Tamil,True
U00099,Osha Raghavan,39,Other,Indore,Madhya Pradesh,P2,2024-10-02,English,True
U00100,Charvi Ravi,21,Male,Nagpur,Maharashtra,P2,2025-03-31,Malayalam,True
U00101,Daksha Mangat,23,Male,Indore,Madhya Pradesh,P2,2024-09-23,English,True
U00102,Udyati Sathe,38,Female,Lucknow,Uttar Pradesh,P1,2023-05-19,English,True
U00103,Yasti Solanki,15,Female,Chennai,Tamil Nadu,P1,2024-04-21,Bengali,True
U00104,Frado Mander,58,Female,Bengaluru,Karnataka,P2,2025-09-17,Telugu,True
U00105,Girik Keer,22,Female,Pune,Maharashtra,P3,2024-08-07,Kannada,True
U00106,Rushil Din,38,Other,Mumbai,Maharashtra,P3,2025-03-24,English,True
U00107,Vaishnavi Bora,25,Female,Chandigarh,Punjab,P1,2022-08-20,Malayalam,False
U00108,Leena Talwar,31,Other,Patna,Bihar,P2,2024-05-11,Telugu,True
U00109,Abdul Chhabra,22,Female,Ahmedabad,Gujarat,P2,2024-02-19,English,True
U00110,Patrick Vasa,49,Female,Kochi,Kerala,P2,2025-08-26,Bengali,False
U00111,Jairaj Shan,49,Other,Chennai,Tamil Nadu,P4,2024-05-24,Hindi,True
U00112,Edhitha Savant,47,Male,Guwahati,Assam,P2,2023-01-26,Tamil,True
U00113,Sanaya Dutt,19,Female,Surat,Gujarat,P1,2024-12-27,English,True
U00114,Shivani Lad,56,Female,Kochi,Kerala,P1,2025-07-06,English,False
U00115,Vedhika Khare,53,Male,Patna,Bihar,P1,2025-07-18,Telugu,True
U00116,Bhavika Keer,55,Female,Delhi,Delhi,P4,2023-08-21,Hindi,True
U00117,Faris Devi,42,Male,Delhi,Delhi,P3,2023-08-16,Hindi,True
U00118,Michael Kala,21,Female,Chennai,Tamil Nadu,P1,2023-02-21,Bengali,True
U00119,Ganga Shukla,23,Female,Pune,Maharashtra,P2,2022-10-17,Bengali,True
U00120,Osha Ramachandran,22,Other,Bhubaneswar,Odisha,P4,2024-03-14,Hindi,True
U00121,Lajita Sood,26,Male,Lucknow,Uttar Pradesh,P1,2026-02-26,Marathi,True
U00122,Chanchal Ramakrishnan,48,Other,Bhopal,Madhya Pradesh,P2,2022-07-24,Hindi,True
U00123,Thomas Sura,47,Female,Ahmedabad,Gujarat,P1,2025-12-13,Malayalam,True
U00124,Vedika Balakrishnan,62,Other,Hyderabad,Telangana,P3,2023-06-01,Bengali,True
U00125,Noah Sibal,37,Male,Patna,Bihar,P2,2024-02-04,Telugu,True
U00126,Meera Bala,38,Male,Patna,Bihar,P3,2026-03-20,English,True
U00127,Krishna Shenoy,51,Female,Surat,Gujarat,P2,2022-11-15,Hindi,True
U00128,Ladli Narang,49,Other,Jaipur,Rajasthan,P2,2023-04-07,Bengali,True
U00129,Geetika Raghavan,58,Male,Guwahati,Assam,P1,2023-05-21,Malayalam,True
U00130,Zayyan Bumb,54,Female,Surat,Gujarat,P1,2023-08-26,Telugu,True
U00131,Inaya Kapur,36,Female,Kochi,Kerala,P1,2024-06-02,Hindi,True
U00132,Azaan Kota,41,Other,Jaipur,Rajasthan,P1,2025-02-19,Bengali,True
U00133,Michael Khare,49,Male,Mumbai,Maharashtra,P2,2023-05-03,Hindi,True
U00134,Tejas Shroff,15,Male,Nagpur,Maharashtra,P2,2023-01-16,Bengali,True
U00135,Oliver Contractor,49,Male,Nagpur,Maharashtra,P2,2025-05-02,Hindi,True
U00136,Deepa Chokshi,51,Other,Ahmedabad,Gujarat,P1,2025-08-25,English,True
U00137,Keya Ranganathan,61,Other,Chandigarh,Punjab,P2,2024-11-07,Telugu,True
U00138,Faqid Kibe,28,Female,Surat,Gujarat,P1,2026-04-21,Hindi,True
U00139,Jai Barman,17,Other,Kochi,Kerala,P1,2022-12-11,Marathi,True
U00140,Kamala Biswas,15,Female,Pune,Maharashtra,P1,2023-12-05,English,True
U00141,Advik Salvi,19,Male,Indore,Madhya Pradesh,P2,2024-07-24,Malayalam,True
U00142,Rachita Pathak,40,Male,Chandigarh,Punjab,P1,2025-10-29,Bengali,True
U00143,Michael Saran,28,Other,Delhi,Delhi,P4,2025-01-29,English,False
U00144,Veda Shroff,53,Male,Nagpur,Maharashtra,P1,2023-03-30,Tamil,True
U00145,Ekantika Korpal,41,Male,Surat,Gujarat,P1,2024-04-12,English,False
U00146,Arya Seshadri,23,Female,Hyderabad,Telangana,P3,2025-11-10,Telugu,True
U00147,Ladli Nayar,29,Other,Delhi,Delhi,P1,2023-07-07,Marathi,True
U00148,Qabil Sura,29,Female,Ahmedabad,Gujarat,P1,2022-08-26,Tamil,True
U00149,Harini Mammen,40,Female,Ahmedabad,Gujarat,P3,2023-05-21,Telugu,True
U00150,Advaith Varughese,56,Female,Guwahati,Assam,P4,2026-01-22,Telugu,True
U00151,Wyatt Ray,27,Male,Hyderabad,Telangana,P4,2026-05-01,Tamil,True
U00152,Vamakshi Swaminathan,46,Male,Bengaluru,Karnataka,P1,2024-06-28,Telugu,True
U00153,Girik Menon,53,Other,Patna,Bihar,P2,2024-04-30,Telugu,True
U00154,Damini Pillay,63,Other,Lucknow,Uttar Pradesh,P2,2023-06-04,Malayalam,True
U00155,Pavani Narayanan,46,Other,Ahmedabad,Gujarat,P4,2024-06-06,Tamil,True
U00156,Anika Mohan,18,Other,Pune,Maharashtra,P2,2023-12-11,Hindi,True
U00157,Reyansh Mutti,44,Male,Jaipur,Rajasthan,P3,2023-07-18,Hindi,True
U00158,Rehaan Kalita,51,Other,Bhubaneswar,Odisha,P2,2023-01-06,Marathi,True
U00159,Barkha Chaudhry,37,Other,Surat,Gujarat,P2,2025-06-29,English,True
U00160,Utkarsh Patel,53,Male,Coimbatore,Tamil Nadu,P2,2025-11-13,Tamil,False
U00161,Jonathan Mahal,59,Male,Kochi,Kerala,P2,2023-04-04,Hindi,False
U00162,Brinda Date,29,Male,Guwahati,Assam,P2,2022-09-20,Gujarati,True
U00163,Harshil Arora,57,Male,Jaipur,Rajasthan,P2,2025-02-01,Telugu,True
U00164,Varenya Sastry,43,Other,Jaipur,Rajasthan,P1,2024-10-31,English,True
U00165,Zayyan Sridhar,50,Female,Bengaluru,Karnataka,P2,2023-11-25,English,True
U00166,Nandini Swamy,27,Other,Kolkata,West Bengal,P1,2022-12-29,Telugu,True
U00167,Max Dixit,46,Other,Bhopal,Madhya Pradesh,P3,2022-11-01,Hindi,True
U00168,Frederick Kothari,21,Female,Jaipur,Rajasthan,P1,2025-10-13,Malayalam,False
U00169,Upkaar Virk,36,Other,Mumbai,Maharashtra,P2,2023-01-05,Telugu,True
U00170,Chameli Sanghvi,42,Female,Indore,Madhya Pradesh,P2,2024-01-22,Tamil,True
U00171,Hardik Johal,16,Male,Pune,Maharashtra,P1,2023-10-05,Marathi,True
U00172,Finn Dugar,56,Other,Nagpur,Maharashtra,P1,2025-01-14,Tamil,True
U00173,Naksh Agate,59,Male,Kolkata,West Bengal,P1,2023-07-01,Telugu,True
U00174,Bishakha Bali,20,Male,Hyderabad,Telangana,P2,2024-03-03,Tamil,True
U00175,Sudiksha Bobal,42,Female,Lucknow,Uttar Pradesh,P2,2023-06-19,English,True
U00176,Rudra Sandal,42,Other,Nagpur,Maharashtra,P1,2025-04-15,Hindi,True
U00177,Manthan Lata,58,Male,Bhubaneswar,Odisha,P2,2022-12-30,Malayalam,True
U00178,Darpan Gandhi,58,Other,Patna,Bihar,P1,2025-11-04,English,True
U00179,Reva Dash,34,Other,Lucknow,Uttar Pradesh,P3,2025-09-16,Gujarati,True
U00180,Neha Magar,44,Female,Chennai,Tamil Nadu,P2,2024-05-30,English,True
U00181,Raksha Buch,25,Female,Coimbatore,Tamil Nadu,P2,2024-07-16,Malayalam,False
U00182,Ekantika Krishna,42,Male,Ahmedabad,Gujarat,P2,2024-12-05,Malayalam,True
U00183,Ansh Luthra,39,Other,Kochi,Kerala,P2,2022-08-22,Kannada,True
U00184,Upma Venkataraman,53,Male,Chennai,Tamil Nadu,P2,2024-11-03,Hindi,False
U00185,Pratyush Sarin,47,Female,Kochi,Kerala,P3,2025-02-21,Hindi,False
U00186,Gavin Singhal,15,Female,Mumbai,Maharashtra,P2,2025-01-28,Kannada,False
U00187,Ekani Cheema,41,Female,Bengaluru,Karnataka,P2,2023-12-06,English,True
U00188,Nisha Tandon,27,Other,Bengaluru,Karnataka,P3,2025-12-20,Malayalam,True
U00189,Balhaar Sha,55,Female,Kochi,Kerala,P2,2023-09-10,Kannada,True
U00190,Ekiya D’Alia,17,Other,Bengaluru,Karnataka,P1,2022-11-21,Marathi,False
U00191,Yoshita Agarwal,53,Male,Bengaluru,Karnataka,P2,2026-06-02,Bengali,True
U00192,Odika Bhagat,20,Other,Hyderabad,Telangana,P2,2025-03-02,English,True
U00193,Wishi Sathe,22,Female,Kochi,Kerala,P3,2023-04-16,English,True
U00194,Amara Deep,41,Other,Ahmedabad,Gujarat,P2,2025-07-30,Bengali,True
U00195,Vedhika Dara,23,Female,Kolkata,West Bengal,P1,2026-04-01,Tamil,True
U00196,Nathan Mukhopadhyay,51,Female,Guwahati,Assam,P1,2022-08-27,Tamil,True
U00197,Girik Kar,47,Female,Mumbai,Maharashtra,P3,2024-09-27,Kannada,True
U00198,Triya Dalal,56,Female,Kolkata,West Bengal,P1,2026-07-04,Gujarati,True
U00199,Wishi Manne,58,Female,Patna,Bihar,P2,2025-02-16,Malayalam,True
U00200,Ojasvi Subramanian,38,Male,Bhopal,Madhya Pradesh,P3,2024-07-28,Hindi,True
U00201,Tanmayi Dhillon,29,Other,Guwahati,Assam,P1,2026-06-17,English,False
U00202,Ekaraj Majumdar,46,Other,Bhopal,Madhya Pradesh,P1,2024-01-27,Malayalam,True
U00203,Harini Tripathi,46,Other,Delhi,Delhi,P4,2025-08-17,Telugu,False
U00204,Barkha Misra,38,Male,Lucknow,Uttar Pradesh,P3,2023-08-10,Tamil,True
U00205,Manthan Sekhon,55,Other,Pune,Maharashtra,P2,2025-11-20,Bengali,True
U00206,Gaurangi Purohit,63,Other,Chennai,Tamil Nadu,P2,2024-09-09,Tamil,True
U00207,Ranbir Khare,63,Female,Surat,Gujarat,P1,2024-05-11,Bengali,True
U00208,Nirja Bassi,26,Female,Lucknow,Uttar Pradesh,P1,2024-10-28,Hindi,True
U00209,Lakshmi Raju,53,Female,Coimbatore,Tamil Nadu,P3,2023-10-23,Telugu,False
U00210,Warhi Bansal,16,Female,Kolkata,West Bengal,P1,2026-06-29,Punjabi,True
U00211,Harish Sarraf,17,Female,Kochi,Kerala,P3,2023-01-16,Punjabi,True
U00212,Alexander Dhawan,63,Other,Ahmedabad,Gujarat,P3,2022-12-08,Bengali,True
U00213,Falan Singh,51,Female,Coimbatore,Tamil Nadu,P2,2024-03-05,Hindi,True
U00214,Hamsini Rao,63,Other,Surat,Gujarat,P2,2025-08-30,Bengali,True
U00215,Lajita Nadig,31,Male,Chandigarh,Punjab,P1,2025-02-19,Telugu,True
U00216,Balendra Biswas,63,Other,Coimbatore,Tamil Nadu,P1,2025-01-16,Hindi,True
U00217,Utkarsh Chana,16,Female,Surat,Gujarat,P4,2023-06-23,Tamil,True
U00218,Harish Sawhney,16,Female,Delhi,Delhi,P4,2024-04-10,Gujarati,True
U00219,Ayush Batra,42,Male,Ahmedabad,Gujarat,P3,2023-03-16,English,True
U00220,Chaaya Parmer,37,Other,Coimbatore,Tamil Nadu,P2,2023-11-01,Bengali,False
U00221,Yash Wali,51,Other,Hyderabad,Telangana,P3,2024-01-14,English,False
U00222,Onkar Gill,46,Male,Delhi,Delhi,P2,2024-03-09,English,False
U00223,Wridesh Tank,47,Other,Chandigarh,Punjab,P1,2022-11-08,English,False
U00224,Vincent Shenoy,15,Female,Chandigarh,Punjab,P1,2026-03-10,Hindi,True
U00225,Aadhya Andra,33,Male,Surat,Gujarat,P1,2025-02-01,Tamil,True
U00226,Bhavna Dugar,16,Female,Mumbai,Maharashtra,P1,2026-02-18,Hindi,True
U00227,Chandani Samra,58,Other,Guwahati,Assam,P1,2022-10-31,Hindi,True
U00228,Chasmum Issac,40,Male,Ahmedabad,Gujarat,P1,2025-04-19,Bengali,True
U00229,Hredhaan Khalsa,46,Male,Jaipur,Rajasthan,P3,2026-07-15,Gujarati,True
U00230,Chakrika Merchant,20,Male,Kolkata,West Bengal,P1,2024-01-24,Hindi,True
U00231,Anvi Anand,46,Male,Ahmedabad,Gujarat,P2,2022-08-17,Hindi,True
U00232,Watika Mangat,18,Other,Patna,Bihar,P2,2024-10-19,Hindi,True
U00233,Indira Kanda,25,Male,Chandigarh,Punjab,P2,2025-08-22,Telugu,True
U00234,Laksh Chatterjee,31,Other,Bhubaneswar,Odisha,P1,2025-01-31,Telugu,True
U00235,Dayamai Sastry,52,Female,Mumbai,Maharashtra,P1,2026-02-24,Malayalam,True
U00236,Karan Chana,38,Female,Hyderabad,Telangana,P2,2022-09-02,Hindi,True
U00237,Ojasvi Gill,19,Male,Bhubaneswar,Odisha,P1,2026-03-05,English,True
U00238,Yachana Mahajan,48,Female,Coimbatore,Tamil Nadu,P2,2023-05-05,Gujarati,True
U00239,Vasatika Merchant,20,Female,Surat,Gujarat,P2,2025-11-10,Hindi,True
U00240,Ishwar Sidhu,36,Male,Coimbatore,Tamil Nadu,P2,2025-07-10,English,False
U00241,Upkaar Ranganathan,25,Female,Patna,Bihar,P1,2026-05-22,English,True
U00242,Gautam Rana,62,Other,Kochi,Kerala,P2,2026-05-29,English,False
U00243,Suhani Pillay,30,Male,Nagpur,Maharashtra,P1,2022-08-05,Hindi,True
U00244,Lakshmi Prabhu,47,Other,Chandigarh,Punjab,P3,2025-03-25,Hindi,False
U00245,Urishilla Bakshi,23,Male,Coimbatore,Tamil Nadu,P1,2022-12-21,English,False
U00246,Timothy Bhatnagar,20,Other,Patna,Bihar,P3,2025-01-06,Hindi,True
U00247,Chasmum Rege,30,Other,Lucknow,Uttar Pradesh,P2,2025-01-29,Telugu,True
U00248,Baljiwan Modi,43,Male,Nagpur,Maharashtra,P1,2023-01-02,English,True
U00249,Gunbir Keer,17,Other,Hyderabad,Telangana,P3,2026-07-10,Hindi,True
U00250,Lipika Setty,34,Other,Coimbatore,Tamil Nadu,P4,2026-02-01,Tamil,True
U00251,Mohammed Sachdeva,50,Other,Mumbai,Maharashtra,P2,2024-01-09,Malayalam,True
U00252,Nikita Mammen,33,Female,Kolkata,West Bengal,P1,2025-02-26,Marathi,True
U00253,Teerth Sawhney,40,Other,Kolkata,West Bengal,P3,2022-09-01,Tamil,True
U00254,Janani Chaudhary,17,Other,Mumbai,Maharashtra,P1,2024-04-25,Hindi,True
U00255,Jagrati Bhat,33,Female,Kochi,Kerala,P1,2026-06-18,Bengali,True
U00256,Jason Sha,34,Male,Guwahati,Assam,P2,2024-02-17,Hindi,True
U00257,Ansh Bedi,46,Female,Delhi,Delhi,P2,2022-11-26,English,True
U00258,Jeremiah Jha,21,Female,Bhubaneswar,Odisha,P2,2025-09-07,Hindi,True
U00259,Tarak Kaul,55,Female,Chandigarh,Punjab,P2,2022-10-24,Bengali,True
U00260,Aarnav Malhotra,47,Male,Indore,Madhya Pradesh,P2,2023-11-08,Hindi,False
U00261,Kalpit Zachariah,54,Female,Delhi,Delhi,P1,2025-12-21,Marathi,True
U00262,Imaran Bal,53,Male,Jaipur,Rajasthan,P1,2023-07-17,Hindi,True
U00263,Wazir Naik,32,Other,Kolkata,West Bengal,P1,2023-01-24,Bengali,True
U00264,Charles Date,54,Other,Chandigarh,Punjab,P1,2022-08-08,Hindi,True
U00265,Devansh Soni,15,Other,Bengaluru,Karnataka,P3,2025-07-03,English,True
U00266,Yochana Chopra,25,Female,Patna,Bihar,P1,2024-04-30,Hindi,True
U00267,Caleb Verma,42,Other,Bhubaneswar,Odisha,P2,2024-05-06,Kannada,True
U00268,Darsh Srinivas,39,Other,Hyderabad,Telangana,P1,2023-09-29,English,True
U00269,Hritik Swaminathan,64,Male,Lucknow,Uttar Pradesh,P2,2025-12-04,English,True
U00270,Ethan Buch,37,Other,Indore,Madhya Pradesh,P2,2025-05-21,Telugu,False
U00271,Dominic Date,45,Other,Chandigarh,Punjab,P2,2023-10-29,Malayalam,True
U00272,Lakshmi Wali,44,Male,Chennai,Tamil Nadu,P1,2023-08-21,Tamil,True
U00273,Hardik Contractor,56,Other,Bengaluru,Karnataka,P1,2023-09-19,Telugu,True
U00274,Qushi Seth,49,Other,Guwahati,Assam,P2,2025-12-12,Tamil,False
U00275,Harinakshi Setty,21,Other,Kochi,Kerala,P3,2026-02-02,English,True
U00276,Dhriti Sane,30,Female,Nagpur,Maharashtra,P2,2024-02-18,Bengali,True
U00277,Kavya Dua,40,Female,Chandigarh,Punjab,P2,2023-10-15,Telugu,True
U00278,Ekalinga Chand,62,Male,Chandigarh,Punjab,P3,2025-04-14,Tamil,False
U00279,Rachana Char,63,Other,Bengaluru,Karnataka,P2,2025-11-12,English,True
U00280,Kalpit Bhasin,16,Other,Delhi,Delhi,P2,2025-07-07,Tamil,True
U00281,Jason Roy,15,Male,Nagpur,Maharashtra,P2,2024-11-18,Telugu,True
U00282,Charan Mani,62,Male,Kochi,Kerala,P4,2023-12-14,Telugu,True
U00283,Hemang Tripathi,26,Female,Ahmedabad,Gujarat,P2,2024-12-09,Telugu,True
U00284,Udarsh Chokshi,19,Female,Chandigarh,Punjab,P2,2023-05-22,English,True
U00285,Ishwar Mallick,51,Other,Bhubaneswar,Odisha,P1,2023-12-09,Tamil,True
U00286,Atharv Loke,46,Female,Hyderabad,Telangana,P2,2024-10-31,English,True
U00287,Dayamai Nori,23,Female,Bhubaneswar,Odisha,P3,2022-08-27,Hindi,True
U00288,Luke Rattan,55,Other,Chandigarh,Punjab,P1,2023-12-10,Bengali,True
U00289,Gavin Wali,49,Male,Bhubaneswar,Odisha,P2,2022-10-25,English,True
U00290,Sudiksha Om,33,Other,Kochi,Kerala,P3,2023-05-26,Bengali,False
U00291,Ekta Chad,62,Other,Indore,Madhya Pradesh,P1,2023-03-02,English,True
U00292,Nakul Bawa,30,Male,Chandigarh,Punjab,P1,2026-01-26,English,True
U00293,Saanvi Samra,17,Male,Pune,Maharashtra,P1,2025-03-26,Hindi,True
U00294,Oeshi Mahajan,34,Other,Hyderabad,Telangana,P2,2024-06-24,Malayalam,False
U00295,Hemani Sani,38,Other,Delhi,Delhi,P2,2023-05-26,Hindi,True
U00296,Darika Bath,47,Other,Kolkata,West Bengal,P1,2022-12-25,Bengali,True
